Comment,Designator,Footprint,LCSC
"HDMI_A","J1","0_21Pin_FootprintLib:HDMI-SMD_HDMI-019S","C111617"
"Conn_01x02","J2,J3","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C16965"
"Conn_01x04","J6,J7","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C371571"
