Reference, Quantity, Value, Footprint, Datasheet, LCSC
J1 ,1,"HDMI_A","0_15Pin_FootprintsLib:HDMI-SMD_HDMI-019S","https://en.wikipedia.org/wiki/HDMI","C111617"
J6 J7 ,2,"Conn_01x04","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","","C371571"
